"Collander, Mr. Erik Gustaf"
"Carter, Rev. Ernest Courtenay"
"Silven, Miss. Lyyli Karoliina"
"Braund, Mr. Lewis Richard"
"Olsen, Mr. Henry Margido"
"O'Brien, Mrs. Thomas (Johanna Hannah Godfrey)"
"Kilgannon, Mr. Thomas J"
"Silvey, Mr. William Baird"
"Fortune, Miss. Alice Elizabeth"
"Stahelin-Maeglin, Dr. Max"
"Porter, Mr. Walter Chamberlain"
"Osman, Mrs. Mara"
"Sjostedt, Mr. Ernst Adolf"
"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
"Bourke, Mr. John"
"Funk, Miss. Annie Clemmer"
"Walker, Mr. William Anderson"
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
"Lindqvist, Mr. Eino William"
"Ibrahim Shawah, Mr. Yousseff"
"Cohen, Mr. Gurshon Gus"
"Vande Walle, Mr. Nestor Cyriel"
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
"Weir, Col. John"
"Maenpaa, Mr. Matti Alexanteri"
"Holverson, Mr. Alexander Oskar"
"Gillespie, Mr. William Henry"
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
"Osen, Mr. Olaf Elon"
"Bishop, Mr. Dickinson H"
"Kirkland, Rev. Charles Leonard"
"Hassab, Mr. Hammad"
"Turcin, Mr. Stjepan"
"Barbara, Mrs. (Catherine David)"
"Harper, Rev. John"
"Toomey, Miss. Ellen"
"Brown, Miss. Amelia Mildred"
"Saad, Mr. Khalil"
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)"
"Williams, Mr. Charles Eugene"
"Burns, Miss. Elizabeth Margaret"
"Brocklebank, Mr. William Alfred"
"Waelens, Mr. Achille"
"Toufik, Mr. Nakli"
"Hickman, Mr. Stanley George"
"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
"Madill, Miss. Georgette Alexandra"
"Thomas, Master. Assad Alexander"
"Beckwith, Mr. Richard Leonard"
"Rommetvedt, Mr. Knud Paust"
"Yousseff, Mr. Gerious"
"Lievens, Mr. Rene Aime"
"Andersson, Miss. Ebba Iris Alfrida"
"Hippach, Miss. Jean Gertrude"
"Theobald, Mr. Thomas Leonard"
"Moutal, Mr. Rahamin Haim"
"Petranec, Miss. Matilda"
"Denkoff, Mr. Mitto"
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
"Flynn, Mr. James"
"Ford, Miss. Robina Maggie Ruby"
"Aks, Mrs. Sam (Leah Rosen)"
"Van Impe, Miss. Catharina"
"Scanlan, Mr. James"
"Emanuel, Miss. Virginia Ethel"
"Gale, Mr. Shadrach"
"Ridsdale, Miss. Lucy"
"Turpin, Mr. William John Robert"
"Silverthorne, Mr. Spencer Victor"
"Lang, Mr. Fang"
"Fry, Mr. Richard"
"Hamalainen, Mrs. William (Anna)"
"Barbara, Miss. Saiide"
"O'Brien, Mr. Thomas"
"Francatelli, Miss. Laura Mabel"
"Jermyn, Miss. Annie"
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
"Butler, Mr. Reginald Fenton"
"Nysten, Miss. Anna Sofia"
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
"Newsom, Miss. Helen Monypeny"
"Partner, Mr. Austen"
"Harder, Mr. George Achilles"
"Marvin, Mr. Daniel Warner"
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
"Hocking, Mr. Richard George"
"Yasbeck, Mr. Antoni"
"Smith, Mr. Richard William"
"Ayoub, Miss. Banoura"
"Carter, Master. William Thornton II"
"Andersson, Master. Sigvard Harald Elias"
"Gavey, Mr. Lawrence"
"Nicola-Yarred, Master. Elias"
"Flynn, Mr. John Irwin (Irving)"
"Serepeca, Miss. Augusta"
"Palsson, Miss. Torborg Danira"
"Strom, Mrs. Wilhelm (Elna Matilda Persson)"
"Balkic, Mr. Cerin"
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)"
"Douglas, Mr. Walter Donald"
"Kantor, Mrs. Sinai (Miriam Sternin)"
"Karun, Miss. Manca"
"O'Driscoll, Miss. Bridget"
"Reynaldo, Ms. Encarnacion"
"Nysveen, Mr. Johan Hansen"
"Compton, Miss. Sara Rebecca"
"Smith, Mr. Thomas"
"McCormack, Mr. Thomas Joseph"
"Larsson, Mr. Bengt Edvin"
"Wiseman, Mr. Phillippe"
"Thorneycroft, Mrs. Percival (Florence Kate White)"
"Taussig, Mr. Emil"
"Widegren, Mr. Carl/Charles Peter"
"Asplund, Miss. Lillian Gertrud"
"Bourke, Miss. Mary"
"Carter, Miss. Lucile Polk"
"Chapman, Mr. Charles Henry"
"Fox, Mr. Stanley Hubert"
"Buss, Miss. Kate"
"Vande Velde, Mr. Johannes Joseph"
"Coelho, Mr. Domingos Fernandeo"
"Isham, Miss. Ann Elizabeth"
"Pears, Mr. Thomas Clinton"
"Lindahl, Miss. Agda Thorilda Viktoria"
"McGough, Mr. James Robert"
"Barton, Mr. David John"
"Hewlett, Mrs. (Mary D Kingcome)"
"Andersen-Jensen, Miss. Carla Christine Nielsine"
"Hanna, Mr. Mansour"
"Augustsson, Mr. Albert"
"Graham, Miss. Margaret Edith"
"Lulic, Mr. Nikola"
"Andreasson, Mr. Paul Edvin"
"Harknett, Miss. Alice Phoebe"
"Carlsson, Mr. August Sigfrid"
"Mitchell, Mr. Henry Michael"
"Paulner, Mr. Uscher"
"Braund, Mr. Owen Harris"
"Harrison, Mr. William"
"Becker, Master. Richard F"
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
"Keane, Miss. Nora A"
"Sharp, Mr. Percival James R"
"Strom, Miss. Telma Matilda"
"Roebling, Mr. Washington Augustus II"
"Becker, Miss. Marion Louise"
"Daly, Mr. Peter Denis"
"Hale, Mr. Reginald"
"Lurette, Miss. Elise"
"Robbins, Mr. Victor"
"Ford, Mrs. Edward (Margaret Ann Watson)"
"Slabenoff, Mr. Petco"
"Rogers, Mr. William John"
"Pavlovic, Mr. Stefo"
"Lester, Mr. James"
"Harmer, Mr. Abraham (David Lishin)"
"Kraeff, Mr. Theodor"
"Goodwin, Master. William Frederick"
"Gee, Mr. Arthur H"
"Palsson, Miss. Stina Viola"
"Cairns, Mr. Alexander"
"Sjoblom, Miss. Anna Sofia"
"Healy, Miss. Hanora Nora"
"Mockler, Miss. Helen Mary Ellie"
"Thayer, Mr. John Borland"
"Hocking, Mrs. Elizabeth (Eliza Needs)"
"Meyer, Mr. August"
"Parkes, Mr. Francis Frank"
"Byles, Rev. Thomas Roussel Davids"
"Nasser, Mrs. Nicholas (Adele Achem)"
"Sirayanian, Mr. Orsen"
"Cacic, Miss. Marija"
"Petroff, Mr. Pastcho (Pentcho)"
"Phillips, Miss. Kate Florence (Mrs Kate Louise Phillips Marshall)"
